dur_s,eef_std_x,eef_std_y,eef_std_z,idle_frac,label,n_cmds,net_disp,path_len,pos,stub,tortuosity,uid,wander
31.4,0.0966,0.0592,0.0736,0.6186,fail,1886,0.361,1.9293,0,0,5.345,307,0.0957
22.6,0.0899,0.0685,0.0795,0.5414,success,1355,0.3084,1.6982,0,0,5.506,308,0.0729
29.2,0.0733,0.0311,0.0845,0.5619,success,1754,0.1418,2.0775,1,0,14.648,309,0.1703
30.6,0.0527,0.0811,0.0568,0.6309,fail,1835,0.222,1.7397,2,0,7.835,310,0.0416
21.7,0.0879,0.062,0.0606,0.4669,success,1301,0.2513,1.7181,2,0,6.837,311,0.0807
47.8,0.1271,0.0804,0.0607,0.7334,fail,2867,0.1693,2.3111,0,0,13.652,312,0.1546
24.9,0.116,0.0617,0.0789,0.436,fail,1494,0.4,1.9968,1,0,4.992,313,0.0646
21.7,0.1104,0.0783,0.0676,0.5154,fail,1301,0.3122,1.4676,2,0,4.701,314,0.0868
64.8,0.1054,0.0841,0.0833,0.5961,success,3891,0.2977,2.8529,0,0,9.583,315,0.0832
31.3,0.1081,0.0588,0.0806,0.4912,success,1880,0.3489,1.6993,0,0,4.87,316,0.0811
24.1,0.1029,0.0353,0.0734,0.4412,success,1447,0.3147,1.3388,1,0,4.254,317,0.0476
25.3,0.1117,0.0457,0.0662,0.4047,success,1518,0.3227,1.6069,2,0,4.98,318,0.0782
44.7,0.1244,0.0615,0.0747,0.3439,success,2682,0.3733,3.8654,0,0,10.356,319,0.0774
44.3,0.1312,0.0958,0.0687,0.6599,success,2659,0.3891,1.8222,0,0,4.683,320,0.0745
28.6,0.1113,0.0353,0.0955,0.4807,success,1715,0.3477,1.7432,1,0,5.014,321,0.0751
7.0,0.0502,0.0656,0.0229,0.3872,success,422,0.2179,0.5537,1,0,2.541,322,0.027
10.8,0.0299,0.0159,0.0166,0.8333,fail,649,0.1035,0.2496,0,0,2.412,324,0.0055
24.3,0.1061,0.0843,0.0682,0.5038,success,1460,0.3645,1.8207,0,0,4.995,325,0.0841
16.1,0.1045,0.0315,0.0702,0.4435,success,966,0.3436,1.213,1,0,3.53,326,0.0642
22.9,0.0965,0.0695,0.0601,0.4792,success,1374,0.2658,1.5936,2,0,5.995,327,0.0992
46.1,0.0756,0.0647,0.0766,0.6497,success,2767,0.2547,2.0134,0,0,7.904,328,0.0847
23.6,0.0863,0.0439,0.0846,0.6093,success,1419,0.3109,1.3553,1,0,4.36,329,0.0627
44.5,0.0982,0.0493,0.087,0.615,success,2671,0.265,2.4083,2,0,9.086,330,0.0752
47.8,0.1195,0.054,0.082,0.7318,success,2868,0.0925,1.7994,0,0,19.454,331,0.1425
67.8,0.0971,0.0654,0.0571,0.6395,success,4070,0.2784,3.5726,2,0,12.832,333,0.0789
19.1,0.1126,0.0739,0.0682,0.4147,fail,1144,0.2468,1.6371,0,0,6.633,334,0.0822
20.8,0.0955,0.0706,0.0617,0.4359,success,1249,0.073,1.6826,0,0,23.036,335,0.1377
