world,arm,uid,ic_uid,stage,n_rows,path_len,net_disp,tortuosity,idle_frac,wander,mean_step,eef_std_x,eef_std_y,eef_std_z,reward_sum
old,dDP,102006,305,picked,57,0.2909,0.1038,2.802,0.0,0.0552,0.0051,0.035,0.0178,0.0226,1.0
old,dDP,102007,316,picked,184,0.6161,0.1228,5.017,0.0,0.0705,0.00335,0.0237,0.0294,0.0208,1.0
old,dDP,102009,327,picked,134,0.8562,0.142,6.029,0.0,0.0876,0.00639,0.0306,0.0777,0.0607,1.0
old,dDP,102010,262,picked,79,0.2817,0.1025,2.749,0.0,0.0601,0.00357,0.0398,0.0182,0.0168,1.0
old,dDP,102011,319,picked,97,0.4276,0.159,2.689,0.0,0.0499,0.00441,0.033,0.0184,0.0221,1.0
old,dDP,103000,242,picked,233,0.6171,0.1691,3.649,0.0,0.0569,0.00265,0.0369,0.0313,0.0167,1.0
old,dDP,103001,250,picked,119,0.767,0.1631,4.702,0.0,0.0727,0.00645,0.0301,0.0828,0.057,1.0
old,dDP,103003,258,picked,153,0.5025,0.0331,15.192,0.0,0.0794,0.00328,0.0435,0.0113,0.0205,1.0
old,dDP,103005,276,picked,103,0.3622,0.17,2.13,0.0,0.0604,0.00352,0.0353,0.0276,0.0202,1.0
old,dDP,103006,284,picked,72,0.3005,0.109,2.758,0.0,0.0671,0.00417,0.0393,0.0199,0.0189,1.0
old,dDP,103008,298,picked,135,0.4318,0.1174,3.678,0.0,0.0693,0.0032,0.056,0.0256,0.0146,1.0
old,dDP,103009,306,picked,140,0.8068,0.2077,3.885,0.0,0.0625,0.00576,0.0254,0.0833,0.0523,1.0
old,dDP,103011,317,picked,99,0.3238,0.1162,2.787,0.0,0.0571,0.00327,0.0331,0.0159,0.0184,1.0
old,dDP,103012,328,picked,146,0.4593,0.1808,2.54,0.0,0.0578,0.00315,0.0323,0.0249,0.0182,1.0
old,dDP,103014,266,picked,113,0.3042,0.1165,2.612,0.0,0.0548,0.00269,0.0264,0.0097,0.0179,1.0
old,dDP,103015,321,picked,142,0.3317,0.1201,2.761,0.0,0.0586,0.00234,0.0448,0.0181,0.0198,1.0
old,dDP,104000,243,picked,95,0.3624,0.1172,3.092,0.0,0.0606,0.00381,0.0461,0.021,0.0216,1.0
old,dDP,104001,251,picked,152,0.5225,0.1442,3.623,0.0,0.0526,0.00344,0.0396,0.0364,0.0221,1.0
old,dDP,104002,263,picked,110,0.7682,0.1717,4.474,0.0,0.0817,0.00698,0.0214,0.0832,0.0596,1.0
old,dDP,104003,277,picked,99,0.3127,0.1157,2.703,0.0,0.0646,0.00316,0.0255,0.0117,0.0191,1.0
old,dDP,104007,308,picked,97,0.3313,0.1496,2.214,0.0,0.0506,0.00342,0.0304,0.0214,0.0202,1.0
old,dDP,104011,330,picked,152,0.7792,0.1814,4.296,0.0,0.0701,0.00513,0.0273,0.0878,0.0606,1.0
old,dDP,104013,267,picked,111,0.7594,0.1677,4.529,0.0,0.0688,0.00684,0.0233,0.0916,0.0537,1.0
old,dDP,104014,329,picked,91,0.2669,0.1052,2.536,0.0,0.0531,0.00293,0.0393,0.0202,0.017,1.0
