world,arm,uid,ic_uid,stage,n_rows,path_len,tortuosity,wander,speed_mean,speed_std,speed_cv,accel_mean,jerk_mean,jerk_per_len,pause_frac,strict_stop_frac,stop_frac_02mm,stop_frac_1mm,stop_frac_2mm,moving_speed_mean,joint_speed_mean,joint_jerk_mean,act_autocorr1,act_hf_frac,act_hf_frac_w32,act_signflip_rate,speed_perm_entropy,act_mag_mean,can_path_len,can_moved_frac,contact_events,can_move_open_frac,grip_cmd_flip,grip_close_events,effort_std,tilt_max,tilt_inhand_mean,retreat_frac,approach_reversals,backtrack_frac,trans_kinds,trans_entropy,nnIC_path_div
w3,dDPnoised,100003,266,picked,147,0.4982,4.47,0.0428,0.0033891169657944125,0.0050413246997018215,1.4875038986800297,0.0033691386955129634,0.005451443868326885,1.5866299741990368,0.17006802721088435,0.20408163265306123,0.05442176870748299,0.35374149659863946,0.4421768707482993,0.004183507802723594,0.018445130931139767,0.018477971359351517,0.5841509705630862,0.19340130839671088,0.33642247932987185,0.5114155251141552,0.9882071674345327,0.06544736238030713,0.24888007473039914,0.3835616438356164,7,0.11643835616438356,1,1,9.410748827588657,4.6859715923871645,3.8456423100932806,0.2948717948717949,3,0.44366197183098594,49,4.800532195372514,0.05095952553030384
w3,dDPnoised,100004,276,picked,137,0.4985,2.889,0.0385,0.0036385016641413007,0.004000200723510511,1.0994087931672205,0.0027078443189614792,0.003994687655275533,1.0818659466240257,0.06569343065693431,0.2846715328467153,0.043795620437956206,0.46715328467153283,0.5474452554744526,0.004958120650563859,0.025198285327813024,0.01860823014406061,0.7620898455142829,0.0812439341769076,0.226840280489501,0.4950980392156863,0.9611000883791956,0.09031444895528755,0.12179105122777692,0.15441176470588236,4,0.007352941176470588,1,2,4.4120240805668836,4.611143196132637,1.1331186421584185,0.47058823529411764,1,0.3181818181818182,43,4.283206578819634,0.04964326049249721
w3,dDPnoised,100005,283,picked,136,0.4147,2.791,0.0607,0.003049317374044561,0.003600413074607944,1.1807275638981518,0.0027081018819507256,0.004150087814262464,1.3409745885807522,0.08088235294117647,0.3602941176470588,0.08823529411764706,0.5147058823529411,0.5882352941176471,0.004619957239700889,0.022345198052151256,0.01651580234786882,0.7032985215161224,0.10345886302118425,0.360713195486881,0.4222222222222222,0.9758887547303882,0.07972183655856854,0.1215455039722563,0.15555555555555556,4,0.022222222222222223,1,1,3.439022305146602,4.9492915768191645,4.1037563896015765,0.08737864077669903,2,0.3969465648854962,42,3.9944169550094717,0.05465435200286794
w3,dDPnoised,100006,301,picked,143,0.5976,4.636,0.0604,0.004178731522192146,0.004219203467903849,1.009685222775564,0.003445306914603358,0.004824028878109281,1.1382784267164012,0.17482517482517482,0.17482517482517482,0.027972027972027972,0.2937062937062937,0.46153846153846156,0.0049939410623960285,0.027079315238382896,0.0238407929465217,0.6599639359878887,0.106253649547305,0.2864476205341783,0.5011737089201878,0.974061197472726,0.10248425131987146,0.20731625575238918,0.30985915492957744,8,0.035211267605633804,1,1,6.314764380281181,6.670806395643648,3.1041027181815237,0.2222222222222222,2,0.2463768115942029,54,5.032260314943485,0.03749523964044387
w3,dDPnoised,100007,309,picked,98,0.5553,12.781,0.0841,0.005666657041526924,0.005500288958141846,0.9706408765933983,0.004100798142945929,0.005854719406170629,1.0121020726377927,0.19387755102040816,0.17346938775510204,0.030612244897959183,0.2755102040816326,0.40816326530612246,0.006791159247523016,0.03787623281475862,0.02682330583493139,0.7550612860819051,0.06795297560002296,0.15755822959238588,0.345360824742268,0.9512382340647227,0.14566436591821974,0.30880242609098285,0.422680412371134,5,0.010309278350515464,1,1,2.944066767292684,13.460908591334588,3.8559867601980002,0.13513513513513514,1,0.24731182795698925,47,4.865400860876045,0.03637547675914574
w3,dDPnoised,100008,320,picked,186,0.8899,6.614,0.0568,0.004784318586495566,0.00494741966036058,1.034090763588652,0.003906858792251803,0.005875531861577294,1.2148760569647399,0.3279569892473118,0.26881720430107525,0.08602150537634409,0.3870967741935484,0.44086021505376344,0.0064440900404369155,0.04248222433422453,0.027972797846431637,0.711197392519053,0.07810264904472224,0.29456989599285544,0.31351351351351353,0.9690165397148363,0.15319459317239523,0.13072964817216268,0.15675675675675677,3,0.005405405405405406,1,1,3.599563344309643,4.855690590472363,3.7718261749618267,0.32,4,0.3812154696132597,60,4.7286648461076695,0.08840237616739284
w3,dDPnoised,100009,329,picked,79,0.3014,2.821,0.0573,0.003814758380627239,0.00497442591039683,1.303995014640721,0.0028472728340786977,0.003957064971101348,1.011043354845268,0.05063291139240506,0.31645569620253167,0.0759493670886076,0.5316455696202531,0.6075949367088608,0.005443033495121807,0.0248683047419426,0.016680220837796533,0.7916907592156975,0.053665255805487276,0.2981199164141532,0.4123931623931623,0.9275668624843018,0.09102586145612965,0.11017393055472302,0.20512820512820512,3,0.02564102564102564,1,1,6.4737341469104965,5.167350561954863,4.132699202758714,0.1,1,0.40540540540540543,32,3.8643314713089705,0.027759995889262746
w3,dDPnoised,101000,233,picked,79,0.5298,7.915,0.0677,0.00670624459519572,0.004813495882932966,0.7177632450777746,0.005138209114715277,0.006960601464548625,1.0116516941259068,0.20253164556962025,0.10126582278481013,0.012658227848101266,0.16455696202531644,0.22784810126582278,0.00741700192311318,0.04162905187207885,0.03203324910576435,0.689303400587104,0.08854097171692005,0.13113153831640387,0.35683760683760685,0.9783567323245864,0.15271454417482727,0.2491805897359928,0.47435897435897434,3,0.01282051282051282,1,1,9.330896809818434,5.158398056275222,4.338825048973135,0.3939393939393939,3,0.22972972972972974,39,4.965190799292872,0.048627435728479995
w3,dDPnoised,101001,250,picked,135,0.4918,2.352,0.0704,0.0036429504580140367,0.004885387861390841,1.341052511610087,0.0023929378754432465,0.003653928058676926,0.9881539243065658,0.037037037037037035,0.4,0.0962962962962963,0.6074074074074074,0.6444444444444445,0.005887007423189805,0.025477822427074654,0.015235430594826316,0.7966969020865539,0.08006131077129204,0.2928287095208484,0.4751243781094528,0.9983664564493797,0.09124795356592923,0.14363704808726332,0.19402985074626866,4,0.007462686567164179,1,1,8.336358649335235,4.570736657726827,4.044953656318513,0.09859154929577464,1,0.4076923076923077,38,3.6100299780644898,0.0421083371581305
w3,dDPnoised,101002,258,picked,73,0.4479,5.334,0.0773,0.006135505895416165,0.005404853829862439,0.8809141286785175,0.004169901101688555,0.005920639705482343,0.9385420691690556,0.2876712328767123,0.1917808219178082,0.0273972602739726,0.273972602739726,0.410958904109589,0.00751446451959645,0.04667281737887605,0.02752308900596374,0.7789384784578824,0.05388355907221642,0.15589770246414278,0.34259259259259256,0.9762186062055352,0.16311495961271494,0.19644751903753244,0.4166666666666667,7,0.1388888888888889,1,1,9.030204443768882,4.78838776419988,4.227065615065635,0.3,2,0.22058823529411764,39,4.741567375141781,0.04213816904155845
