world,arm,uid,ic_uid,stage,n_rows,path_len,tortuosity,wander,speed_mean,speed_std,speed_cv,accel_mean,jerk_mean,jerk_per_len,pause_frac,joint_speed_mean,joint_jerk_mean,act_autocorr1,act_hf_frac,act_signflip_rate,speed_perm_entropy,act_mag_mean,can_path_len,can_moved_frac,contact_events,can_move_open_frac,grip_cmd_flip,grip_close_events,effort_std,tilt_max,tilt_inhand_mean,retreat_frac,approach_reversals,backtrack_frac,trans_kinds,trans_entropy,nnIC_path_div
old,dH,101004,283,picked,107,0.3217,2.225,0.0569,0.003006280846655546,0.002573084025719404,0.8559027439442097,0.0014422143248370043,0.0015562081276696987,0.5079765341891638,0.07476635514018691,0.027339468836431718,0.01137271523994632,0.813388694755203,0.023908072878244046,0.14150943396226415,0.8706738544093288,0.09469934794297472,0.12574013860175234,0.3018867924528302,6,0.10377358490566038,1,1,3.9745087678860944,6.476584115529536,4.877679767786816,0.11428571428571428,1,0.0392156862745098,30,4.054292154034404,0.060171238506977635
old,dH,101006,309,picked,100,0.4569,9.659,0.0908,0.004568508497865386,0.004887210979442418,1.069760728632976,0.002655026932957828,0.0033304112804558045,0.7144132612146141,0.09,0.03700572812953293,0.017711845637146357,0.8108628497392821,0.04849370987927793,0.14983164983164982,0.8620937174561845,0.14676695759097738,0.2702363187475744,0.40404040404040403,5,0.020202020202020204,1,1,3.06764395141335,6.488480408815375,3.117971632429712,0.13513513513513514,1,0.09473684210526316,31,4.044365766876715,0.042611056686209646
old,dH,101007,321,picked,98,0.3106,2.836,0.0614,0.00316910619255926,0.0032766229567084424,1.0339265261611053,0.0016428497215915932,0.0018557121017797804,0.5736129734312342,0.25510204081632654,0.02266758329508649,0.01420574229765757,0.6590527422971814,0.09336689606341657,0.12714776632302405,0.9250055609510459,0.08237613664091038,0.1338439720257304,0.26804123711340205,4,0.08247422680412371,1,1,9.109616998689633,5.46939585909473,4.056296015775449,0.24528301886792453,2,0.0967741935483871,33,4.11021280221064,0.02788659866533494
old,dH,101008,335,picked,75,0.3755,2.13,0.0508,0.005007126211748054,0.004455137991503318,0.8897594754153343,0.0026706450448003164,0.003026991636099929,0.5884157368001878,0.08,0.042052022681145156,0.0181588837041093,0.7336655038985969,0.08096683692121637,0.21621621621621623,0.8817018332727795,0.15596782896253797,0.1756742514573497,0.47297297297297297,7,0.20270270270270271,1,1,5.913704083357179,6.7237144614011095,4.161898523726824,0.2,2,0.08571428571428572,31,4.5269846007560925,0.05076408568621275
old,dH,102001,250,picked,284,1.2728,6.021,0.0666,0.004481518413128363,0.004174357559136266,0.9314605395590284,0.0027685174729002657,0.0031614769970218764,0.7004797894640986,0.1619718309859155,0.04901310614895769,0.020868676261420475,0.7802676837448561,0.06271716186846987,0.2114252061248528,0.9300162864316484,0.18304801222041883,0.25317180597428374,0.19081272084805653,6,0.024734982332155476,1,1,9.733416829074486,8.378833331286353,4.432236722141458,0.30256410256410254,8,0.21505376344086022,69,5.367998585912308,0.10087471723801573
old,dH,102002,262,picked,62,0.3094,2.528,0.0492,0.004989863137289178,0.004815032430775838,0.9649628252913727,0.0026369857194304693,0.00321929488655394,0.6243551333352911,0.1774193548387097,0.037642018422724036,0.019606786678084312,0.7910055730712654,0.04081992494201885,0.18579234972677594,0.8095021850802055,0.1579591045055979,0.16571285331051394,0.3442622950819672,2,0.03278688524590164,1,1,8.72191453598162,5.27741165412385,4.069826564290872,0.13513513513513514,1,0.12280701754385964,29,4.362208819995945,0.033216595725656904
old,dH,102003,275,picked,108,0.4935,2.526,0.0505,0.004569700994395754,0.004324873033146975,0.9464236365685557,0.002306638051765393,0.002189809936734199,0.47032790624694787,0.25,0.03915211138162393,0.01386226793130897,0.8525357617712027,0.02261723884769859,0.21651090342679127,0.8961615388469557,0.1374819368859869,0.18650079952071977,0.37383177570093457,8,0.19626168224299065,1,1,8.482380171605564,4.357164056527884,3.4969785494513608,0.15942028985507245,1,0.10679611650485436,37,4.511625669104722,0.051863728035454505
old,dH,102004,284,picked,95,0.2193,3.001,0.0501,0.0023085498885955062,0.0026792377597135565,1.1605717394063215,0.0006961257761283266,0.0007559687456032264,0.32057076945696084,0.042105263157894736,0.018648721064980094,0.004838509751842114,0.9387343067179964,0.00978310112826672,0.11347517730496454,0.806024986795932,0.13700206675811819,0.09290971064280057,0.20212765957446807,3,0.010638297872340425,1,1,4.0370523710219945,5.24186402351904,3.5109444656609288,0.10909090909090909,1,0.06666666666666667,19,3.0220295367298524,0.03318219649379609
old,dH,102006,311,picked,98,0.6268,3.28,0.0519,0.006396209943440312,0.005755318152158794,0.8998013203211396,0.0032901475745080017,0.0037299313908133527,0.5712461558220803,0.25510204081632654,0.05002606098404902,0.021859460217542842,0.7653083578319365,0.06690027863399677,0.24914089347079038,0.9251105505611725,0.18013242150650546,0.11905793521848149,0.15463917525773196,2,0.010309278350515464,1,1,3.9844104129321187,4.145012241455716,2.9659657663321486,0.2028985507246377,2,0.15053763440860216,42,4.773294125317053,0.06605727031854844
old,dH,102007,325,picked,116,0.4113,2.597,0.0559,0.0035460931816206414,0.004206130325991623,1.186130795375583,0.002040042132127547,0.002327244197479819,0.6449687530427519,0.2413793103448276,0.022886214019628995,0.012643493768511259,0.7199477209066897,0.08739219476569576,0.1072463768115942,0.8847383473583572,0.07865255719971383,0.0990946850944878,0.12173913043478261,2,0.008695652173913044,1,1,5.265230893617804,6.318685684352654,4.326013146123835,0.12,1,0.10810810810810811,31,3.6920892613791647,0.03744245139451058
