condition,arm,phase,online_step,mean,ci_lo,ci_hi,n_seeds,in_band
dreamer_local,human,placed_v2,750000,0.7259890050843928,0.5470657276995305,0.9,4,True
dreamer_local,human,placed_v2,800000,0.8566998341625207,0.7733665008291875,0.9166666666666667,4,True
dreamer_local,human,placed_v2,850000,0.8399352267065272,0.8,0.8798704534130544,4,True
dreamer_local,human,placed_v2,900000,0.7833333333333334,0.6583333333333333,0.8583333333333334,4,True
dreamer_local,human,placed_v2,950000,0.8900395778364115,0.8500000000000001,0.9233729111697451,4,True
dreamer_local,machine,placed_v2,50000,0.0,0.0,0.0,4,True
dreamer_local,machine,placed_v2,100000,0.0,0.0,0.0,4,True
dreamer_local,machine,placed_v2,150000,0.008333333333333333,0.0,0.025,4,True
dreamer_local,machine,placed_v2,200000,0.24392194497760716,0.18333333333333332,0.3189219449776071,4,True
dreamer_local,machine,placed_v2,250000,0.24721886338980373,0.10860853611432984,0.3725996922027194,4,True
dreamer_local,machine,placed_v2,300000,0.2218584656084656,0.049999999999999996,0.5322420634920635,4,True
dreamer_local,machine,placed_v2,350000,0.5471545637055576,0.49964926346553684,0.6262751436781608,4,True
dreamer_local,machine,placed_v2,400000,0.5279257228411596,0.29491141326740833,0.7609400324149109,4,True
dreamer_local,machine,placed_v2,450000,0.590448343079922,0.38089668615984407,0.8,4,True
dreamer_local,machine,placed_v2,500000,0.5565492620579113,0.36309852411582255,0.75,4,True
dreamer_local,machine,placed_v2,550000,0.9265201465201465,0.8878937728937729,0.9583333333333334,4,True
dreamer_local,machine,placed_v2,600000,0.6583333333333333,0.55,0.7583333333333333,4,True
dreamer_local,machine,placed_v2,650000,0.8198427672955975,0.79,0.849685534591195,4,True
dreamer_local,machine,placed_v2,700000,0.6599760464933637,0.5387605042016806,0.811046918767507,4,True
