learner,dataset,seed,in_design,run,training_record,home,picked,cells,excluded_reason
{r2dreamer},human,15,False,full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s15,True,0.6,0.6166666666666667,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s15/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s15/online_2000000/rnd30_mode/metrics.json,outside the n=8 design
{r2dreamer},machine,0,False,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s0,True,,,,no rnd30_mode cell at 1500k
{r2dreamer},machine,1,False,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s1,True,,,,no rnd30_mode cell at 1500k
{r2dreamer},machine,2,False,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s2,True,,,,no rnd30_mode cell at 1500k
{r2dreamer},machine,3,True,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s3,True,0.5333333333333333,0.7,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s3/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s3/online_2000000/rnd30_mode/metrics.json,
{r2dreamer},machine,4,True,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s4,True,0.6333333333333333,0.7,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s4/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s4/online_2000000/rnd30_mode/metrics.json,
{r2dreamer},machine,5,True,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s5,True,0.6333333333333333,0.7166666666666666,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s5/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s5/online_2000000/rnd30_mode/metrics.json,
{r2dreamer},machine,6,True,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s6,True,0.5666666666666667,0.7166666666666667,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s6/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s6/online_2000000/rnd30_mode/metrics.json,
{r2dreamer},machine,7,True,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s7,True,0.3333333333333333,0.5833333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s7/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s7/online_2000000/rnd30_mode/metrics.json,
{r2dreamer},machine,8,True,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s8,True,0.5833333333333333,0.6833333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s8/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s8/online_2000000/rnd30_mode/metrics.json,
