condition,arm,seed,run,source,path,origin,nominal_budget,budget_used,achieved_online,episodes,complete,note,x_unit,phases_absent,n_rnd30_cells,n_hold15_cells
r2dreamer_cluster,human,7,full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s7,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s7,117624,2000000,2000000,1992823,9162,True,,online sim steps,,4,4
r2dreamer_cluster,human,8,full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s8,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s8,117624,2000000,2000000,1992549,8828,True,,online sim steps,,4,4
r2dreamer_cluster,human,9,full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s9,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s9,117624,2000000,2000000,1999912,9826,True,,online sim steps,,4,4
r2dreamer_cluster,human,10,full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s10,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s10,117624,2000000,2000000,1999551,7455,True,,online sim steps,,4,4
r2dreamer_cluster,human,11,full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s11,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s11,117624,2000000,2000000,1999866,8936,True,,online sim steps,,4,4
r2dreamer_cluster,human,12,full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s12,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s12,117624,2000000,2000000,1999783,9005,True,,online sim steps,,4,4
r2dreamer_cluster,human,13,full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s13,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s13,117624,2000000,2000000,1999896,9847,True,,online sim steps,,4,4
r2dreamer_cluster,human,14,full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s14,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s14,117624,2000000,2000000,1999713,9425,True,,online sim steps,,4,4
r2dreamer_cluster,human,15,full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s15,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s15,117624,2000000,2000000,1992719,7334,True,,online sim steps,,4,4
r2dreamer_cluster,machine,0,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s0,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s0,149952,1000000,1000000,992669,3487,True,,online sim steps,,2,2
r2dreamer_cluster,machine,1,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s1,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s1,149952,1000000,1000000,994829,2952,True,,online sim steps,,2,2
r2dreamer_cluster,machine,2,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s2,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s2,149952,1000000,1000000,999197,3307,True,,online sim steps,,2,2
r2dreamer_cluster,machine,3,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s3,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s3,149952,2000000,2000000,1992610,8873,True,,online sim steps,,4,4
r2dreamer_cluster,machine,4,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s4,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s4,149952,2000000,2000000,1999440,9355,True,,online sim steps,,4,4
r2dreamer_cluster,machine,5,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s5,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s5,149952,2000000,2000000,1999138,8850,True,,online sim steps,,4,4
r2dreamer_cluster,machine,6,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s6,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s6,149952,2000000,2000000,1998181,9436,True,,online sim steps,,4,4
r2dreamer_cluster,machine,7,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s7,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s7,149952,2000000,2000000,1992502,8816,True,,online sim steps,,4,4
r2dreamer_cluster,machine,8,full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s8,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_r2dreamer_s8,149952,2000000,2000000,1992708,8825,True,,online sim steps,,4,4
