condition,arm,seed,run,threshold,phase,reference,rise_step_reference,budget,achieved,complete,note,rise_step_phase,lag_steps,status
dreamer_cluster,human,10,full_r2d_state_dHfull_all_rns10h_img_dreamer_s10,0.5,farside,picked,234973,2000000,1999790,True,,320240,85267,crossed
dreamer_cluster,human,10,full_r2d_state_dHfull_all_rns10h_img_dreamer_s10,0.5,slide_event,picked,234973,2000000,1999790,True,,481107,246134,crossed
dreamer_cluster,human,10,full_r2d_state_dHfull_all_rns10h_img_dreamer_s10,0.5,home,picked,234973,2000000,1999790,True,,778042,543069,crossed
dreamer_cluster,human,10,full_r2d_state_dHfull_all_rns10h_img_dreamer_s10,0.5,tipped,picked,234973,2000000,1999790,True,,230293,-4680,crossed
dreamer_cluster,human,11,full_r2d_state_dHfull_all_rns10h_img_dreamer_s11,0.5,placed_v2,picked,236278,2000000,1999663,True,,300330,64052,crossed
dreamer_cluster,human,11,full_r2d_state_dHfull_all_rns10h_img_dreamer_s11,0.5,farside,picked,236278,2000000,1999663,True,,300330,64052,crossed
dreamer_cluster,human,11,full_r2d_state_dHfull_all_rns10h_img_dreamer_s11,0.5,slide_event,picked,236278,2000000,1999663,True,,380047,143769,crossed
dreamer_cluster,human,11,full_r2d_state_dHfull_all_rns10h_img_dreamer_s11,0.5,home,picked,236278,2000000,1999663,True,,385236,148958,crossed
dreamer_cluster,human,11,full_r2d_state_dHfull_all_rns10h_img_dreamer_s11,0.5,tipped,picked,236278,2000000,1999663,True,,119173,-117105,crossed
dreamer_cluster,human,12,full_r2d_state_dHfull_all_rns10h_img_dreamer_s12,0.5,placed_v2,picked,196621,2000000,1998777,True,,245146,48525,crossed
dreamer_cluster,human,12,full_r2d_state_dHfull_all_rns10h_img_dreamer_s12,0.5,farside,picked,196621,2000000,1998777,True,,245146,48525,crossed
dreamer_cluster,human,12,full_r2d_state_dHfull_all_rns10h_img_dreamer_s12,0.5,slide_event,picked,196621,2000000,1998777,True,,295998,99377,crossed
dreamer_cluster,human,12,full_r2d_state_dHfull_all_rns10h_img_dreamer_s12,0.5,home,picked,196621,2000000,1998777,True,,327227,130606,crossed
dreamer_cluster,human,12,full_r2d_state_dHfull_all_rns10h_img_dreamer_s12,0.5,tipped,picked,196621,2000000,1998777,True,,188561,-8060,crossed
dreamer_cluster,human,13,full_r2d_state_dHfull_all_rns10h_img_dreamer_s13,0.5,placed_v2,picked,172073,2000000,1999679,True,,326695,154622,crossed
dreamer_cluster,human,13,full_r2d_state_dHfull_all_rns10h_img_dreamer_s13,0.5,farside,picked,172073,2000000,1999679,True,,326766,154693,crossed
dreamer_cluster,human,13,full_r2d_state_dHfull_all_rns10h_img_dreamer_s13,0.5,slide_event,picked,172073,2000000,1999679,True,,558676,386603,crossed
dreamer_cluster,human,13,full_r2d_state_dHfull_all_rns10h_img_dreamer_s13,0.5,home,picked,172073,2000000,1999679,True,,558676,386603,crossed
dreamer_cluster,human,13,full_r2d_state_dHfull_all_rns10h_img_dreamer_s13,0.5,tipped,picked,172073,2000000,1999679,True,,170711,-1362,crossed
dreamer_cluster,human,14,full_r2d_state_dHfull_all_rns10h_img_dreamer_s14,0.5,placed_v2,picked,225485,2000000,1999320,True,,306297,80812,crossed
dreamer_cluster,human,14,full_r2d_state_dHfull_all_rns10h_img_dreamer_s14,0.5,farside,picked,225485,2000000,1999320,True,,306297,80812,crossed
dreamer_cluster,human,14,full_r2d_state_dHfull_all_rns10h_img_dreamer_s14,0.5,slide_event,picked,225485,2000000,1999320,True,,345512,120027,crossed
dreamer_cluster,human,14,full_r2d_state_dHfull_all_rns10h_img_dreamer_s14,0.5,home,picked,225485,2000000,1999320,True,,385836,160351,crossed
dreamer_cluster,human,14,full_r2d_state_dHfull_all_rns10h_img_dreamer_s14,0.5,tipped,picked,225485,2000000,1999320,True,,180418,-45067,crossed
dreamer_cluster,human,15,full_r2d_state_dHfull_all_rns10h_img_dreamer_s15,0.5,placed_v2,picked,147519,2000000,1999712,True,,222316,74797,crossed
dreamer_cluster,human,15,full_r2d_state_dHfull_all_rns10h_img_dreamer_s15,0.5,farside,picked,147519,2000000,1999712,True,,222483,74964,crossed
dreamer_cluster,human,15,full_r2d_state_dHfull_all_rns10h_img_dreamer_s15,0.5,slide_event,picked,147519,2000000,1999712,True,,397266,249747,crossed
dreamer_cluster,human,15,full_r2d_state_dHfull_all_rns10h_img_dreamer_s15,0.5,home,picked,147519,2000000,1999712,True,,456569,309050,crossed
dreamer_cluster,human,15,full_r2d_state_dHfull_all_rns10h_img_dreamer_s15,0.5,tipped,picked,147519,2000000,1999712,True,,147543,24,crossed
dreamer_cluster,machine,4,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s4,0.5,placed_v2,picked,245955,1000000,999557,True,,334812,88857,crossed
dreamer_cluster,machine,4,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s4,0.5,farside,picked,245955,1000000,999557,True,,334812,88857,crossed
dreamer_cluster,machine,4,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s4,0.5,slide_event,picked,245955,1000000,999557,True,,342555,96600,crossed
dreamer_cluster,machine,4,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s4,0.5,home,picked,245955,1000000,999557,True,,342555,96600,crossed
dreamer_cluster,machine,4,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s4,0.5,tipped,picked,245955,1000000,999557,True,,441279,195324,crossed
dreamer_cluster,machine,5,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s5,0.5,placed_v2,picked,221715,1000000,992537,True,,225015,3300,crossed
dreamer_cluster,machine,5,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s5,0.5,farside,picked,221715,1000000,992537,True,,277963,56248,crossed
dreamer_cluster,machine,5,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s5,0.5,slide_event,picked,221715,1000000,992537,True,,291763,70048,crossed
dreamer_cluster,machine,5,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s5,0.5,home,picked,221715,1000000,992537,True,,292352,70637,crossed
dreamer_cluster,machine,5,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s5,0.5,tipped,picked,221715,1000000,992537,True,,226131,4416,crossed
dreamer_cluster,machine,6,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s6,0.5,placed_v2,picked,269990,1000000,999552,True,,272271,2281,crossed
dreamer_cluster,machine,6,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s6,0.5,farside,picked,269990,1000000,999552,True,,273557,3567,crossed
dreamer_cluster,machine,6,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s6,0.5,slide_event,picked,269990,1000000,999552,True,,337457,67467,crossed
dreamer_cluster,machine,6,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s6,0.5,home,picked,269990,1000000,999552,True,,337457,67467,crossed
dreamer_cluster,machine,6,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s6,0.5,tipped,picked,269990,1000000,999552,True,,125290,-144700,crossed
dreamer_cluster,machine,7,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s7,0.5,placed_v2,picked,203301,1000000,992801,True,,347460,144159,crossed
dreamer_cluster,machine,7,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s7,0.5,farside,picked,203301,1000000,992801,True,,352715,149414,crossed
dreamer_cluster,machine,7,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s7,0.5,slide_event,picked,203301,1000000,992801,True,,433807,230506,crossed
dreamer_cluster,machine,7,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s7,0.5,home,picked,203301,1000000,992801,True,,439756,236455,crossed
dreamer_cluster,machine,7,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s7,0.5,tipped,picked,203301,1000000,992801,True,,296500,93199,crossed
dreamer_cluster,machine,8,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s8,0.5,placed_v2,picked,183388,2000000,1992570,True,,264875,81487,crossed
dreamer_cluster,machine,8,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s8,0.5,farside,picked,183388,2000000,1992570,True,,267578,84190,crossed
dreamer_cluster,machine,8,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s8,0.5,slide_event,picked,183388,2000000,1992570,True,,360702,177314,crossed
dreamer_cluster,machine,8,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s8,0.5,home,picked,183388,2000000,1992570,True,,362036,178648,crossed
dreamer_cluster,machine,8,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s8,0.5,tipped,picked,183388,2000000,1992570,True,,183388,0,crossed
dreamer_cluster,machine,9,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s9,0.5,placed_v2,picked,164483,2000000,1999020,True,,295206,130723,crossed
dreamer_cluster,machine,9,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s9,0.5,farside,picked,164483,2000000,1999020,True,,295206,130723,crossed
dreamer_cluster,machine,9,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s9,0.5,slide_event,picked,164483,2000000,1999020,True,,310248,145765,crossed
dreamer_cluster,machine,9,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s9,0.5,home,picked,164483,2000000,1999020,True,,310248,145765,crossed
dreamer_cluster,machine,9,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s9,0.5,tipped,picked,164483,2000000,1999020,True,,120822,-43661,crossed
dreamer_cluster,machine,10,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s10,0.5,placed_v2,picked,138488,2000000,1999910,True,,404997,266509,crossed
dreamer_cluster,machine,10,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s10,0.5,farside,picked,138488,2000000,1999910,True,,405064,266576,crossed
dreamer_cluster,machine,10,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s10,0.5,slide_event,picked,138488,2000000,1999910,True,,406148,267660,crossed
dreamer_cluster,machine,10,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s10,0.5,home,picked,138488,2000000,1999910,True,,407811,269323,crossed
dreamer_cluster,machine,10,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s10,0.5,tipped,picked,138488,2000000,1999910,True,,115996,-22492,crossed
dreamer_cluster,machine,11,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s11,0.5,placed_v2,picked,125910,2000000,1999870,True,,284237,158327,crossed
dreamer_cluster,machine,11,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s11,0.5,farside,picked,125910,2000000,1999870,True,,284237,158327,crossed
dreamer_cluster,machine,11,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s11,0.5,slide_event,picked,125910,2000000,1999870,True,,300105,174195,crossed
dreamer_cluster,machine,11,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s11,0.5,home,picked,125910,2000000,1999870,True,,300105,174195,crossed
dreamer_cluster,machine,11,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s11,0.5,tipped,picked,125910,2000000,1999870,True,,164524,38614,crossed
dreamer_cluster,machine,12,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s12,0.5,placed_v2,picked,159370,2000000,1997828,True,,274211,114841,crossed
dreamer_cluster,machine,12,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s12,0.5,farside,picked,159370,2000000,1997828,True,,274211,114841,crossed
dreamer_cluster,machine,12,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s12,0.5,slide_event,picked,159370,2000000,1997828,True,,277315,117945,crossed
dreamer_cluster,machine,12,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s12,0.5,home,picked,159370,2000000,1997828,True,,326249,166879,crossed
