condition,arm,seed,run,phase,threshold,rise_step,first_event_step,budget,achieved,note
dreamer_cluster,human,7,full_r2d_state_dHfull_all_rns10h_img_dreamer_s7,tipped,0.5,178723,14617,1000000,992379,
dreamer_cluster,human,8,full_r2d_state_dHfull_all_rns10h_img_dreamer_s8,tipped,0.5,176184,4947,2000000,1992758,
dreamer_cluster,human,9,full_r2d_state_dHfull_all_rns10h_img_dreamer_s9,tipped,0.5,150565,0,2000000,1999907,
dreamer_cluster,human,10,full_r2d_state_dHfull_all_rns10h_img_dreamer_s10,tipped,0.5,230293,0,2000000,1999790,
dreamer_cluster,human,11,full_r2d_state_dHfull_all_rns10h_img_dreamer_s11,tipped,0.5,119173,0,2000000,1999663,
dreamer_cluster,human,12,full_r2d_state_dHfull_all_rns10h_img_dreamer_s12,tipped,0.5,188561,0,2000000,1998777,
dreamer_cluster,human,13,full_r2d_state_dHfull_all_rns10h_img_dreamer_s13,tipped,0.5,170711,0,2000000,1999679,
dreamer_cluster,human,14,full_r2d_state_dHfull_all_rns10h_img_dreamer_s14,tipped,0.5,180418,0,2000000,1999320,
dreamer_cluster,human,15,full_r2d_state_dHfull_all_rns10h_img_dreamer_s15,tipped,0.5,147543,0,2000000,1999712,
dreamer_cluster,machine,4,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s4,picked,0.5,245955,154160,1000000,999557,
dreamer_cluster,machine,5,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s5,picked,0.5,221715,81296,1000000,992537,
dreamer_cluster,machine,6,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s6,picked,0.5,269990,115452,1000000,999552,
dreamer_cluster,machine,7,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s7,picked,0.5,203301,122357,1000000,992801,
dreamer_cluster,machine,8,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s8,picked,0.5,183388,136496,2000000,1992570,
dreamer_cluster,machine,9,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s9,picked,0.5,164483,88176,2000000,1999020,
dreamer_cluster,machine,10,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s10,picked,0.5,138488,94648,2000000,1999910,
dreamer_cluster,machine,11,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s11,picked,0.5,125910,91396,2000000,1999870,
dreamer_cluster,machine,12,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s12,picked,0.5,159370,128272,2000000,1997828,
dreamer_cluster,machine,13,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s13,picked,0.5,237919,98295,2000000,1999651,
dreamer_cluster,machine,14,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s14,picked,0.5,320952,88773,2000000,1999709,
dreamer_cluster,machine,15,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s15,picked,0.5,224918,132096,2000000,1999603,
dreamer_cluster,machine,4,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s4,placed_v2,0.5,334812,224587,1000000,999557,
dreamer_cluster,machine,5,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s5,placed_v2,0.5,225015,114934,1000000,992537,
dreamer_cluster,machine,6,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s6,placed_v2,0.5,272271,257099,1000000,999552,
dreamer_cluster,machine,7,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s7,placed_v2,0.5,347460,177908,1000000,992801,
dreamer_cluster,machine,8,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s8,placed_v2,0.5,264875,231461,2000000,1992570,
dreamer_cluster,machine,9,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s9,placed_v2,0.5,295206,122901,2000000,1999020,
dreamer_cluster,machine,10,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s10,placed_v2,0.5,404997,112238,2000000,1999910,
dreamer_cluster,machine,11,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s11,placed_v2,0.5,284237,120290,2000000,1999870,
dreamer_cluster,machine,12,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s12,placed_v2,0.5,274211,152497,2000000,1997828,
dreamer_cluster,machine,13,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s13,placed_v2,0.5,257331,167384,2000000,1999651,
dreamer_cluster,machine,14,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s14,placed_v2,0.5,343801,90648,2000000,1999709,
dreamer_cluster,machine,15,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s15,placed_v2,0.5,234007,131236,2000000,1999603,
dreamer_cluster,machine,4,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s4,farside,0.5,334812,224587,1000000,999557,
dreamer_cluster,machine,5,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s5,farside,0.5,277963,114934,1000000,992537,
dreamer_cluster,machine,6,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s6,farside,0.5,273557,257099,1000000,999552,
dreamer_cluster,machine,7,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s7,farside,0.5,352715,177908,1000000,992801,
dreamer_cluster,machine,8,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s8,farside,0.5,267578,231461,2000000,1992570,
