step,picked,placed_v2,farside,slide_event,home,nested_v2,tipped
683989,0,0,0,0,0,0,0
684629,0,0,0,0,0,0,0
684890,0,0,0,0,0,0,0
686135,0,0,0,0,0,0,0
686272,0,0,0,0,0,0,0
686677,0,0,0,0,0,0,1
686748,0,0,0,0,0,0,1
687151,0,0,0,0,0,0,1
687604,0,0,0,0,0,0,1
687669,0,0,0,0,0,0,1
691173,0,0,0,0,0,0,0
691885,0,0,0,0,0,0,1
692074,0,0,0,0,0,0,0
693460,0,0,0,0,0,0,0
694347,0,0,0,0,0,0,0
694800,0,0,0,0,0,0,0
698347,0,0,0,0,0,0,1
698369,0,0,0,0,0,0,0
699081,0,0,0,0,0,0,0
699270,0,0,0,0,0,0,0
700656,0,0,0,0,0,0,0
702000,0,0,0,0,0,0,0
705547,0,0,0,0,0,0,0
705569,0,0,0,0,0,0,0
706281,0,0,0,0,0,0,0
706470,0,0,0,0,0,0,0
707856,0,0,0,0,0,0,0
709200,0,0,0,0,0,0,0
710609,0,0,0,0,0,0,1
711180,1,0,0,0,0,0,1
712739,0,0,0,0,0,0,0
712761,0,0,0,0,0,0,0
713666,0,0,0,0,0,0,0
713708,0,0,0,0,0,0,1
716396,0,0,0,0,0,0,0
717805,0,0,0,0,0,0,0
719939,0,0,0,0,0,0,0
719961,0,0,0,0,0,0,0
720866,0,0,0,0,0,0,0
720908,0,0,0,0,0,0,0
723596,0,0,0,0,0,0,0
725005,0,0,0,0,0,0,0
727139,1,0,0,0,0,0,0
727161,0,0,0,0,0,0,0
728066,0,0,0,0,0,0,0
728108,0,0,0,0,0,0,0
728177,1,0,0,0,0,0,1
729492,0,0,0,0,0,0,1
729755,0,0,0,0,0,0,1
730784,0,0,0,0,0,0,0
734357,0,0,0,0,0,0,0
735262,0,0,0,0,0,0,0
735377,0,0,0,0,0,0,0
736692,0,0,0,0,0,0,0
736955,0,0,0,0,0,0,0
737984,0,0,0,0,0,0,0
739514,1,0,0,0,0,0,1
739653,0,0,0,0,0,0,1
741185,0,0,0,0,0,0,1
