ladder,arm,seed,stage,bin_center_step,rate,n_episodes_in_bin
nested_ramp,human,954,picked,1950000,,0
nested_ramp,human,954,picked,2050000,,0
nested_ramp,human,954,picked,2150000,,0
nested_ramp,human,954,picked,2250000,,0
nested_ramp,human,954,picked,2350000,,0
nested_ramp,human,954,picked,2450000,,0
nested_ramp,human,954,picked,2550000,,0
nested_ramp,human,954,picked,2650000,,0
nested_ramp,human,954,picked,2750000,,0
nested_ramp,human,954,picked,2850000,,0
nested_ramp,human,954,picked,2950000,,0
nested_ramp,human,954,picked,3050000,,0
nested_ramp,human,954,picked,3150000,,0
nested_ramp,human,954,picked,3250000,,0
nested_ramp,human,954,picked,3350000,,0
nested_ramp,human,954,picked,3450000,,0
nested_ramp,human,954,picked,3550000,,0
nested_ramp,human,954,picked,3650000,,0
nested_ramp,human,954,picked,3750000,,0
nested_ramp,human,954,picked,3850000,,0
nested_ramp,human,954,picked,3950000,,0
nested_ramp,human,959,picked,50000,0.0408,98
nested_ramp,human,959,picked,150000,0.1176,102
nested_ramp,human,959,picked,250000,0.0909,110
nested_ramp,human,959,picked,350000,0.1078,102
nested_ramp,human,959,picked,450000,0.0777,103
nested_ramp,human,959,picked,550000,0.0748,107
nested_ramp,human,959,picked,650000,0.3767,146
nested_ramp,human,959,picked,750000,0.5722,180
nested_ramp,human,959,picked,850000,0.7339,218
nested_ramp,human,959,picked,950000,0.7598,204
nested_ramp,human,959,picked,1050000,0.8075,187
nested_ramp,human,959,picked,1150000,0.8023,172
nested_ramp,human,959,picked,1250000,0.8342,193
nested_ramp,human,959,picked,1350000,0.8170,235
nested_ramp,human,959,picked,1450000,0.8465,202
nested_ramp,human,959,picked,1550000,0.8346,254
nested_ramp,human,959,picked,1650000,0.8000,75
nested_ramp,human,959,picked,1750000,,0
nested_ramp,human,959,picked,1850000,,0
nested_ramp,human,959,picked,1950000,,0
nested_ramp,human,959,picked,2050000,,0
nested_ramp,human,959,picked,2150000,,0
nested_ramp,human,959,picked,2250000,,0
nested_ramp,human,959,picked,2350000,,0
nested_ramp,human,959,picked,2450000,,0
nested_ramp,human,959,picked,2550000,,0
nested_ramp,human,959,picked,2650000,,0
nested_ramp,human,959,picked,2750000,,0
nested_ramp,human,959,picked,2850000,,0
nested_ramp,human,959,picked,2950000,,0
nested_ramp,human,959,picked,3050000,,0
nested_ramp,human,959,picked,3150000,,0
nested_ramp,human,959,picked,3250000,,0
nested_ramp,human,959,picked,3350000,,0
nested_ramp,human,959,picked,3450000,,0
nested_ramp,human,959,picked,3550000,,0
nested_ramp,human,959,picked,3650000,,0
nested_ramp,human,959,picked,3750000,,0
nested_ramp,human,959,picked,3850000,,0
nested_ramp,human,959,picked,3950000,,0
nested_ramp,human,960,picked,50000,0.0787,89
nested_ramp,human,960,picked,150000,0.0316,95
nested_ramp,human,960,picked,250000,0.0636,110
nested_ramp,human,960,picked,350000,0.0826,121
nested_ramp,human,960,picked,450000,0.1000,120
nested_ramp,human,960,picked,550000,0.4558,147
nested_ramp,human,960,picked,650000,0.5955,178
nested_ramp,human,960,picked,750000,0.6955,220
nested_ramp,human,960,picked,850000,0.7342,222
nested_ramp,human,960,picked,950000,0.7056,197
nested_ramp,human,960,picked,1050000,0.8396,187
nested_ramp,human,960,picked,1150000,0.7626,219
nested_ramp,human,960,picked,1250000,0.9330,209
nested_ramp,human,960,picked,1350000,0.8725,251
nested_ramp,human,960,picked,1450000,0.8505,194
nested_ramp,human,960,picked,1550000,0.8860,193
nested_ramp,human,960,picked,1650000,0.8311,219
nested_ramp,human,960,picked,1750000,1.0000,6
nested_ramp,human,960,picked,1850000,,0
nested_ramp,human,960,picked,1950000,,0
nested_ramp,human,960,picked,2050000,,0
nested_ramp,human,960,picked,2150000,,0
nested_ramp,human,960,picked,2250000,,0
nested_ramp,human,960,picked,2350000,,0
nested_ramp,human,960,picked,2450000,,0
nested_ramp,human,960,picked,2550000,,0
nested_ramp,human,960,picked,2650000,,0
nested_ramp,human,960,picked,2750000,,0
nested_ramp,human,960,picked,2850000,,0
nested_ramp,human,960,picked,2950000,,0
nested_ramp,human,960,picked,3050000,,0
nested_ramp,human,960,picked,3150000,,0
nested_ramp,human,960,picked,3250000,,0
nested_ramp,human,960,picked,3350000,,0
nested_ramp,human,960,picked,3450000,,0
nested_ramp,human,960,picked,3550000,,0
nested_ramp,human,960,picked,3650000,,0
nested_ramp,human,960,picked,3750000,,0
nested_ramp,human,960,picked,3850000,,0
nested_ramp,human,960,picked,3950000,,0
nested_ramp,human,961,picked,50000,0.0330,91
nested_ramp,human,961,picked,150000,0.0796,113
nested_ramp,human,961,picked,250000,0.0588,102
nested_ramp,human,961,picked,350000,0.1466,116
nested_ramp,human,961,picked,450000,0.3684,133
nested_ramp,human,961,picked,550000,0.4320,125
nested_ramp,human,961,picked,650000,0.7463,134
nested_ramp,human,961,picked,750000,0.8497,153
nested_ramp,human,961,picked,850000,0.7929,169
nested_ramp,human,961,picked,950000,0.8621,145
nested_ramp,human,961,picked,1050000,0.8561,139
nested_ramp,human,961,picked,1150000,0.8777,188
nested_ramp,human,961,picked,1250000,0.8333,186
nested_ramp,human,961,picked,1350000,0.8629,175
nested_ramp,human,961,picked,1450000,0.8079,177
nested_ramp,human,961,picked,1550000,0.9121,182
nested_ramp,human,961,picked,1650000,0.9181,171
nested_ramp,human,961,picked,1750000,0.8400,25
nested_ramp,human,961,picked,1850000,,0
nested_ramp,human,961,picked,1950000,,0
nested_ramp,human,961,picked,2050000,,0
nested_ramp,human,961,picked,2150000,,0
nested_ramp,human,961,picked,2250000,,0
nested_ramp,human,961,picked,2350000,,0
nested_ramp,human,961,picked,2450000,,0
nested_ramp,human,961,picked,2550000,,0
nested_ramp,human,961,picked,2650000,,0
nested_ramp,human,961,picked,2750000,,0
nested_ramp,human,961,picked,2850000,,0
nested_ramp,human,961,picked,2950000,,0
nested_ramp,human,961,picked,3050000,,0
nested_ramp,human,961,picked,3150000,,0
nested_ramp,human,961,picked,3250000,,0
nested_ramp,human,961,picked,3350000,,0
nested_ramp,human,961,picked,3450000,,0
nested_ramp,human,961,picked,3550000,,0
nested_ramp,human,961,picked,3650000,,0
nested_ramp,human,961,picked,3750000,,0
nested_ramp,human,961,picked,3850000,,0
nested_ramp,human,961,picked,3950000,,0
nested_ramp,machine,970,picked,50000,0.0215,93
nested_ramp,machine,970,picked,150000,0.0204,98
nested_ramp,machine,970,picked,250000,0.0396,101
nested_ramp,machine,970,picked,350000,0.1028,107
nested_ramp,machine,970,picked,450000,0.2946,112
nested_ramp,machine,970,picked,550000,0.3252,163
nested_ramp,machine,970,picked,650000,0.6957,184
nested_ramp,machine,970,picked,750000,0.7373,217
nested_ramp,machine,970,picked,850000,0.8282,227
nested_ramp,machine,970,picked,950000,0.8035,173
nested_ramp,machine,970,picked,1050000,0.8028,213
nested_ramp,machine,970,picked,1150000,0.8028,213
nested_ramp,machine,970,picked,1250000,0.8566,279
nested_ramp,machine,970,picked,1350000,0.8267,300
nested_ramp,machine,970,picked,1450000,0.8246,285
nested_ramp,machine,970,picked,1550000,0.8496,266
nested_ramp,machine,970,picked,1650000,0.8641,287
nested_ramp,machine,970,picked,1750000,0.8980,304
nested_ramp,machine,970,picked,1850000,0.9264,299
nested_ramp,machine,970,picked,1950000,0.9608,255
nested_ramp,machine,970,picked,2050000,,0
nested_ramp,machine,970,picked,2150000,,0
nested_ramp,machine,970,picked,2250000,,0
nested_ramp,machine,970,picked,2350000,,0
nested_ramp,machine,970,picked,2450000,,0
nested_ramp,machine,970,picked,2550000,,0
nested_ramp,machine,970,picked,2650000,,0
nested_ramp,machine,970,picked,2750000,,0
nested_ramp,machine,970,picked,2850000,,0
nested_ramp,machine,970,picked,2950000,,0
nested_ramp,machine,970,picked,3050000,,0
nested_ramp,machine,970,picked,3150000,,0
nested_ramp,machine,970,picked,3250000,,0
nested_ramp,machine,970,picked,3350000,,0
nested_ramp,machine,970,picked,3450000,,0
nested_ramp,machine,970,picked,3550000,,0
nested_ramp,machine,970,picked,3650000,,0
nested_ramp,machine,970,picked,3750000,,0
nested_ramp,machine,970,picked,3850000,,0
nested_ramp,machine,970,picked,3950000,,0
nested_ramp,machine,971,picked,50000,0.0729,96
nested_ramp,machine,971,picked,150000,0.0490,102
nested_ramp,machine,971,picked,250000,0.0190,105
nested_ramp,machine,971,picked,350000,0.1020,98
nested_ramp,machine,971,picked,450000,0.2273,132
nested_ramp,machine,971,picked,550000,0.0826,121
nested_ramp,machine,971,picked,650000,0.4444,180
nested_ramp,machine,971,picked,750000,0.4588,170
nested_ramp,machine,971,picked,850000,0.6620,216
nested_ramp,machine,971,picked,950000,0.8233,249
nested_ramp,machine,971,picked,1050000,0.8276,232
nested_ramp,machine,971,picked,1150000,0.9040,198
nested_ramp,machine,971,picked,1250000,0.8805,226
nested_ramp,machine,971,picked,1350000,0.8870,177
nested_ramp,machine,971,picked,1450000,0.8802,217
nested_ramp,machine,971,picked,1550000,0.8415,246
nested_ramp,machine,971,picked,1650000,0.7927,275
nested_ramp,machine,971,picked,1750000,0.8248,331
nested_ramp,machine,971,picked,1850000,0.8852,270
nested_ramp,machine,971,picked,1950000,0.8732,276
nested_ramp,machine,971,picked,2050000,,0
nested_ramp,machine,971,picked,2150000,,0
nested_ramp,machine,971,picked,2250000,,0
nested_ramp,machine,971,picked,2350000,,0
nested_ramp,machine,971,picked,2450000,,0
nested_ramp,machine,971,picked,2550000,,0
nested_ramp,machine,971,picked,2650000,,0
nested_ramp,machine,971,picked,2750000,,0
nested_ramp,machine,971,picked,2850000,,0
nested_ramp,machine,971,picked,2950000,,0
nested_ramp,machine,971,picked,3050000,,0
nested_ramp,machine,971,picked,3150000,,0
nested_ramp,machine,971,picked,3250000,,0
nested_ramp,machine,971,picked,3350000,,0
nested_ramp,machine,971,picked,3450000,,0
nested_ramp,machine,971,picked,3550000,,0
nested_ramp,machine,971,picked,3650000,,0
nested_ramp,machine,971,picked,3750000,,0
nested_ramp,machine,971,picked,3850000,,0
nested_ramp,machine,971,picked,3950000,,0
nested_ramp,machine,972,picked,50000,0.0588,102
nested_ramp,machine,972,picked,150000,0.0500,100
nested_ramp,machine,972,picked,250000,0.0755,106
nested_ramp,machine,972,picked,350000,0.1681,119
nested_ramp,machine,972,picked,450000,0.1908,131
nested_ramp,machine,972,picked,550000,0.1042,96
nested_ramp,machine,972,picked,650000,0.4198,162
nested_ramp,machine,972,picked,750000,0.3750,160
nested_ramp,machine,972,picked,850000,0.6265,166
nested_ramp,machine,972,picked,950000,0.6684,193
nested_ramp,machine,972,picked,1050000,0.8358,201
nested_ramp,machine,972,picked,1150000,0.7552,241
nested_ramp,machine,972,picked,1250000,0.7731,216
nested_ramp,machine,972,picked,1350000,0.7902,224
nested_ramp,machine,972,picked,1450000,0.8726,212
nested_ramp,machine,972,picked,1550000,0.7799,209
nested_ramp,machine,972,picked,1650000,0.9252,214
nested_ramp,machine,972,picked,1750000,0.8665,322
nested_ramp,machine,972,picked,1850000,0.8475,282
nested_ramp,machine,972,picked,1950000,0.8097,268
nested_ramp,machine,972,picked,2050000,0.8759,266
nested_ramp,machine,972,picked,2150000,0.8658,231
nested_ramp,machine,972,picked,2250000,0.8108,259
nested_ramp,machine,972,picked,2350000,0.8973,331
nested_ramp,machine,972,picked,2450000,0.8952,248
nested_ramp,machine,972,picked,2550000,0.9052,232
nested_ramp,machine,972,picked,2650000,0.9414,256
nested_ramp,machine,972,picked,2750000,0.9182,269
nested_ramp,machine,972,picked,2850000,0.9598,224
nested_ramp,machine,972,picked,2950000,0.9324,207
nested_ramp,machine,972,picked,3050000,0.9721,179
nested_ramp,machine,972,picked,3150000,0.9455,165
nested_ramp,machine,972,picked,3250000,0.9637,193
nested_ramp,machine,972,picked,3350000,0.9679,218
nested_ramp,machine,972,picked,3450000,0.9300,257
nested_ramp,machine,972,picked,3550000,0.9512,164
nested_ramp,machine,972,picked,3650000,0.9693,228
nested_ramp,machine,972,picked,3750000,0.9783,184
nested_ramp,machine,972,picked,3850000,0.9641,167
nested_ramp,machine,972,picked,3950000,0.9508,183
nested_ramp,machine,973,picked,50000,0.0000,97
nested_ramp,machine,973,picked,150000,0.0319,94
nested_ramp,machine,973,picked,250000,0.0370,108
nested_ramp,machine,973,picked,350000,0.0404,99
nested_ramp,machine,973,picked,450000,0.1698,106
nested_ramp,machine,973,picked,550000,0.2917,120
nested_ramp,machine,973,picked,650000,0.5059,170
nested_ramp,machine,973,picked,750000,0.6509,212
nested_ramp,machine,973,picked,850000,0.6739,184
nested_ramp,machine,973,picked,950000,0.8443,212
nested_ramp,machine,973,picked,1050000,0.8750,192
nested_ramp,machine,973,picked,1150000,0.8988,168
nested_ramp,machine,973,picked,1250000,0.7844,218
nested_ramp,machine,973,picked,1350000,0.8364,214
nested_ramp,machine,973,picked,1450000,0.8057,211
nested_ramp,machine,973,picked,1550000,0.8578,211
nested_ramp,machine,973,picked,1650000,0.8411,214
nested_ramp,machine,973,picked,1750000,0.8456,272
nested_ramp,machine,973,picked,1850000,0.7794,272
nested_ramp,machine,973,picked,1950000,0.8371,264
nested_ramp,machine,973,picked,2050000,0.8322,286
nested_ramp,machine,973,picked,2150000,0.9403,268
nested_ramp,machine,973,picked,2250000,0.9722,216
nested_ramp,machine,973,picked,2350000,0.9335,331
nested_ramp,machine,973,picked,2450000,0.8930,271
nested_ramp,machine,973,picked,2550000,0.9459,259
nested_ramp,machine,973,picked,2650000,0.9429,210
nested_ramp,machine,973,picked,2750000,0.9547,265
nested_ramp,machine,973,picked,2850000,0.9607,229
nested_ramp,machine,973,picked,2950000,0.9689,193
nested_ramp,machine,973,picked,3050000,0.9693,228
nested_ramp,machine,973,picked,3150000,0.9626,214
nested_ramp,machine,973,picked,3250000,0.9667,210
nested_ramp,machine,973,picked,3350000,0.9506,162
nested_ramp,machine,973,picked,3450000,0.9567,254
nested_ramp,machine,973,picked,3550000,0.9671,213
nested_ramp,machine,973,picked,3650000,0.9727,220
nested_ramp,machine,973,picked,3750000,0.9788,189
nested_ramp,machine,973,picked,3850000,0.9750,240
nested_ramp,machine,973,picked,3950000,0.9789,190
nested_ramp,machine,974,picked,50000,0.0000,99
nested_ramp,machine,974,picked,150000,0.0631,111
nested_ramp,machine,974,picked,250000,0.0826,109
nested_ramp,machine,974,picked,350000,0.2051,117
nested_ramp,machine,974,picked,450000,0.1966,117
nested_ramp,machine,974,picked,550000,0.5926,162
nested_ramp,machine,974,picked,650000,0.7609,184
nested_ramp,machine,974,picked,750000,0.7945,146
nested_ramp,machine,974,picked,850000,0.8782,156
nested_ramp,machine,974,picked,950000,0.8765,170
nested_ramp,machine,974,picked,1050000,0.8071,197
nested_ramp,machine,974,picked,1150000,0.8225,231
nested_ramp,machine,974,picked,1250000,0.8981,206
nested_ramp,machine,974,picked,1350000,0.9482,251
nested_ramp,machine,974,picked,1450000,0.8745,255
nested_ramp,machine,974,picked,1550000,0.8558,215
nested_ramp,machine,974,picked,1650000,0.9444,54
nested_ramp,machine,974,picked,1750000,,0
nested_ramp,machine,974,picked,1850000,,0
nested_ramp,machine,974,picked,1950000,,0
