comparison,arm_role,arm,seed,k,n,cell,statistic,action_mode,source,path
pick_rnd30_rlpd_frozen,human,dHv2raw,60,23,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99v2fullw3_dHv2raw_s60/sweep/final_sweep.json
pick_rnd30_rlpd_frozen,human,dHv2raw,61,20,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99v2fullw3_dHv2raw_s61/sweep/final_sweep.json
pick_rnd30_rlpd_frozen,human,dHv2raw,62,18,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99v2fullw3_dHv2raw_s62/sweep/final_sweep.json
pick_rnd30_rlpd_frozen,human,dHv2raw,63,20,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99v2fullw3_dHv2raw_s63/sweep/final_sweep.json
pick_rnd30_rlpd_frozen,human,dHv2raw,64,18,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99v2fullw3_dHv2raw_s64/sweep/final_sweep.json
pick_rnd30_rlpd_frozen,human,dHv2raw,65,2,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99v2fullw3_dHv2raw_s65/sweep/final/sweep.json
pick_rnd30_rlpd_frozen,human,dHv2raw,66,24,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99v2fullw3_dHv2raw_s66/sweep/final_sweep.json
pick_rnd30_rlpd_frozen,human,dHv2raw,67,19,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99v2fullw3_dHv2raw_s67/sweep/final_sweep.json
pick_rnd30_rlpd_frozen,machine,dDP,40,18,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99w3_dDP_s40/sweep/final_sweep.json
pick_rnd30_rlpd_frozen,machine,dDP,41,19,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99w3_dDP_s41/sweep/final_sweep.json
pick_rnd30_rlpd_frozen,machine,dDP,42,17,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99w3_dDP_s42/sweep/final_sweep.json
pick_rnd30_rlpd_frozen,machine,dDP,43,19,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99w3_dDP_s43/sweep/final_sweep.json
pick_rnd30_rlpd_frozen,machine,dDP,44,20,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99w3_dDP_s44/sweep/final_sweep.json
pick_rnd30_rlpd_frozen,machine,dDP,45,0,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99w3_dDP_s45/sweep/final/sweep.json
pick_rnd30_rlpd_frozen,machine,dDP,46,20,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99w3_dDP_s46/sweep/final_sweep.json
pick_rnd30_rlpd_frozen,machine,dDP,47,11,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99w3_dDP_s47/sweep/final_sweep.json
pick_rnd30_r2d_mode,human,dHv2raw,0,15,30,rnd30,picked,mode,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dHv2raw_bnormclamp1ent5_s0/fresh_eval_rnd30_mode/metrics.json
pick_rnd30_r2d_mode,human,dHv2raw,1,19,30,rnd30,picked,mode,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dHv2raw_bnormclamp1ent5_s1/fresh_eval_rnd30_mode/metrics.json
pick_rnd30_r2d_mode,human,dHv2raw,2,19,30,rnd30,picked,mode,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dHv2raw_bnormclamp1ent5_s2/fresh_eval_rnd30_mode/metrics.json
pick_rnd30_r2d_mode,human,dHv2raw,3,19,30,rnd30,picked,mode,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dHv2raw_bnormclamp1ent5_s3/fresh_eval_rnd30_mode/metrics.json
pick_rnd30_r2d_mode,human,dHv2raw,4,21,30,rnd30,picked,mode,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dHv2raw_bnormclamp1ent5_s4/fresh_eval_rnd30_mode/metrics.json
pick_rnd30_r2d_mode,human,dHv2raw,5,17,30,rnd30,picked,mode,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dHv2raw_bnormclamp1ent5_s5/fresh_eval_rnd30_mode/metrics.json
pick_rnd30_r2d_mode,human,dHv2raw,6,20,30,rnd30,picked,mode,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dHv2raw_bnormclamp1ent5_s6/fresh_eval_rnd30_mode/metrics.json
pick_rnd30_r2d_mode,human,dHv2raw,7,18,30,rnd30,picked,mode,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dHv2raw_bnormclamp1ent5_s7/fresh_eval_rnd30_mode/metrics.json
pick_rnd30_r2d_mode,machine,dDP,0,20,30,rnd30,picked,mode,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dDP_bnormclamp1ent5_s0/fresh_eval_rnd30_mode/metrics.json
pick_rnd30_r2d_mode,machine,dDP,1,18,30,rnd30,picked,mode,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dDP_bnormclamp1ent5_s1/fresh_eval_rnd30_mode/metrics.json
pick_rnd30_r2d_mode,machine,dDP,2,18,30,rnd30,picked,mode,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dDP_bnormclamp1ent5_s2/fresh_eval_rnd30_mode/metrics.json
pick_rnd30_r2d_mode,machine,dDP,3,18,30,rnd30,picked,mode,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dDP_bnormclamp1ent5_s3/fresh_eval_rnd30_mode/metrics.json
pick_rnd30_r2d_mode,machine,dDP,4,16,30,rnd30,picked,mode,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dDP_bnormclamp1ent5_s4/fresh_eval_rnd30_mode/metrics.json
pick_rnd30_r2d_mode,machine,dDP,5,19,30,rnd30,picked,mode,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dDP_bnormclamp1ent5_s5/fresh_eval_rnd30_mode/metrics.json
