run,cell,arm,episodes,ep_diff,moved,structural_only,cols_changed,structural_cols,orig_host,orig_cores,orig_isa,rescore_host,rescore_cores,rescore_isa
full_r2d_state_dHfull_all_bnormclampS8ent5_s7,fresh_eval_hold15_sample,human,15,0,0,0,,,pax111,64,avx512,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s7,fresh_eval_rnd30_mode,human,30,0,0,1,placed_v2,placed_v2,pax111,64,avx512,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s7,fresh_eval_rnd30_sample,human,30,0,0,1,placed_v2,placed_v2,pax111,64,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s0,fresh_eval_holdE_mode,machine,13,0,0,0,,,pax113,64,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s0,fresh_eval_holdE_sample,machine,13,0,0,0,,,pax113,64,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s0,fresh_eval_polE_mode,machine,148,0,0,0,,,pax113,64,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s0,fresh_eval_polE_sample,machine,148,0,0,0,,,pax113,64,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s1,fresh_eval_holdE_mode,machine,13,0,0,0,,,pax062,64,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s1,fresh_eval_holdE_sample,machine,13,0,0,0,,,pax062,64,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s1,fresh_eval_polE_mode,machine,148,0,0,0,,,pax062,64,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s1,fresh_eval_polE_sample,machine,148,0,0,0,,,pax062,64,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s2,fresh_eval_holdE_mode,machine,13,0,0,0,,,pax062,64,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s2,fresh_eval_holdE_sample,machine,13,0,0,0,,,pax062,64,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s2,fresh_eval_polE_mode,machine,148,0,0,0,,,pax062,64,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s2,fresh_eval_polE_sample,machine,148,0,0,0,,,pax062,64,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s3,fresh_eval_holdE_mode,machine,13,0,0,0,,,pax062,64,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s3,fresh_eval_holdE_sample,machine,13,0,0,0,,,pax062,64,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s3,fresh_eval_polE_mode,machine,148,0,0,0,,,pax062,64,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s3,fresh_eval_polE_sample,machine,148,0,0,0,,,pax062,64,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s4,fresh_eval_holdE_mode,machine,13,0,0,0,,,pax062,64,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s4,fresh_eval_holdE_sample,machine,13,0,0,0,,,pax062,64,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s4,fresh_eval_polE_mode,machine,148,0,0,0,,,pax062,64,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s4,fresh_eval_polE_sample,machine,148,0,0,0,,,pax062,64,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s5,fresh_eval_holdE_mode,machine,13,0,0,0,,,pax118,48,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s5,fresh_eval_holdE_sample,machine,13,0,0,0,,,pax118,48,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s5,fresh_eval_polE_mode,machine,148,0,0,0,,,pax118,48,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s5,fresh_eval_polE_sample,machine,148,0,0,0,,,pax118,48,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s6,fresh_eval_holdE_mode,machine,13,0,0,0,,,pax118,48,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s6,fresh_eval_holdE_sample,machine,13,0,0,0,,,pax118,48,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s6,fresh_eval_polE_mode,machine,148,0,0,0,,,pax118,48,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s6,fresh_eval_polE_sample,machine,148,0,0,0,,,pax118,48,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s7,fresh_eval_holdE_mode,machine,13,0,0,0,,,pax118,48,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s7,fresh_eval_holdE_sample,machine,13,0,0,0,,,pax118,48,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s7,fresh_eval_polE_mode,machine,148,0,0,0,,,pax118,48,avx512,,,
s2_r2d_carrycontact_state_dDP_bnormclamp1ent5_n21_s7,fresh_eval_polE_sample,machine,148,0,0,0,,,pax118,48,avx512,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s0,fresh_eval_holdE_mode,human,13,0,0,0,,,pax110,64,avx512,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s0,fresh_eval_holdE_sample,human,13,0,0,0,,,pax110,64,avx512,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s0,fresh_eval_polE_mode,human,148,0,0,0,,,pax110,64,avx512,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s0,fresh_eval_polE_sample,human,148,0,0,0,,,pax110,64,avx512,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s1,fresh_eval_holdE_mode,human,13,0,0,0,,,pax119,48,avx512,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s1,fresh_eval_holdE_sample,human,13,0,0,0,,,pax119,48,avx512,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s1,fresh_eval_polE_mode,human,148,0,0,0,,,pax119,48,avx512,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s1,fresh_eval_polE_sample,human,148,0,0,0,,,pax119,48,avx512,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s2,fresh_eval_holdE_mode,human,13,0,0,0,,,pax119,48,avx512,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s2,fresh_eval_holdE_sample,human,13,0,0,0,,,pax119,48,avx512,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s2,fresh_eval_polE_mode,human,148,0,0,0,,,pax119,48,avx512,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s2,fresh_eval_polE_sample,human,148,0,0,0,,,pax119,48,avx512,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s3,fresh_eval_holdE_mode,human,13,0,0,0,,,pax118,48,avx512,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s3,fresh_eval_holdE_sample,human,13,0,0,0,,,pax118,48,avx512,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s3,fresh_eval_polE_mode,human,148,0,0,0,,,pax118,48,avx512,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s3,fresh_eval_polE_sample,human,148,0,0,0,,,pax118,48,avx512,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s4,fresh_eval_holdE_mode,human,13,0,0,0,,,pax106,64,,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s4,fresh_eval_holdE_sample,human,13,0,0,0,,,pax106,64,,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s4,fresh_eval_polE_mode,human,148,0,0,0,,,pax106,64,,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s4,fresh_eval_polE_sample,human,148,0,0,0,,,pax106,64,,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s5,fresh_eval_holdE_mode,human,13,0,0,0,,,pax106,64,,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s5,fresh_eval_holdE_sample,human,13,0,0,0,,,pax106,64,,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s5,fresh_eval_polE_mode,human,148,0,0,0,,,pax106,64,,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s5,fresh_eval_polE_sample,human,148,0,0,0,,,pax106,64,,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s6,fresh_eval_holdE_mode,human,13,0,0,0,,,pax143,32,,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s6,fresh_eval_holdE_sample,human,13,0,0,0,,,pax143,32,,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s6,fresh_eval_polE_mode,human,148,0,0,0,,,pax143,32,,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s6,fresh_eval_polE_sample,human,148,0,0,0,,,pax143,32,,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s7,fresh_eval_holdE_mode,human,13,0,0,0,,,pax142,32,,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s7,fresh_eval_holdE_sample,human,13,0,0,0,,,pax142,32,,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s7,fresh_eval_polE_mode,human,148,0,0,0,,,pax142,32,,,,
s2_r2d_carrycontact_state_dH_bnormclamp1ent5_s7,fresh_eval_polE_sample,human,148,0,0,0,,,pax142,32,,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s0,fresh_eval_holdE_mode,machine,11,0,0,0,,,pax062,64,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s0,fresh_eval_holdE_sample,machine,11,0,0,0,,,pax062,64,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s0,fresh_eval_polE_mode,machine,160,0,0,0,,,pax062,64,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s0,fresh_eval_polE_sample,machine,160,0,0,0,,,pax062,64,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s1,fresh_eval_holdE_mode,machine,11,0,0,0,,,pax068,64,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s1,fresh_eval_holdE_sample,machine,11,0,0,0,,,pax068,64,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s1,fresh_eval_polE_mode,machine,160,0,0,0,,,pax068,64,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s1,fresh_eval_polE_sample,machine,160,0,0,0,,,pax068,64,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s2,fresh_eval_holdE_mode,machine,11,0,0,0,,,pax062,64,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s2,fresh_eval_holdE_sample,machine,11,0,0,0,,,pax062,64,avx512,,,
s2_r2d_contact_state_dDP_bnormclamp1ent5_n11_s2,fresh_eval_polE_mode,machine,160,0,0,0,,,pax062,64,avx512,,,
